"[ELEMENT]","[PROFESSION_STYLE]","[TOP_ITEM]","[ELEMENT_EFFECTS]","[BODY_COLOR]","[FACIAL_FEATURES]","[SIDE_DETAILS]"
"Liquid metal","Sith Lord","Cat ears headband","Blood splatter effects","Iridescent pearl","Crying obsidian purple eyes","Holding a stop sign"
"Cosmic stardust","Steampunk inventor","Diving helmet","Magical sparkles and stars","Camo print","Sharp shark teeth","Butterfly wings on back"
"Nanobot swarm","Ninja hokage","Fedora hat","Dripping neon paint","Neon hot pink","Slenderman blank face","Holding an electric guitar"
"Magma & obsidian","Gangster in tracksuits","Samurai kabuto helmet","Swarm of pixelated bats","Transparent green slime","Multiple spider eyes","Glowing circuit lines"
"Meme magic","Gothic Lolita","Glowing devil horns","Steam clouds","White marble","Joker clown makeup","Holding a ""Doge"" coin"
"Hellfire","Paladin","Crown of thorns","Floating math equations","Obsidian rock","Googly eyes","Holding a chainsaw"
"Arctic ice","Pirate captain","Pirate tricorne hat","Swirling snowflakes","Sapphire crystal","Hypnotic spiral eyes","Parrot on the shoulder"
"Thunderstorm","Astronaut","Fishbowl space helmet","Arcing lightning bolts","Molten lava crust","Cute button eyes","Holding a skateboard"
"Acid rain","Mad Scientist","Welding mask","Bubbling acid drops","Copper steampunk plating","Wide O_O eyes","Pip-Boy on the wrist"
"Void","Detective","Detective fedora","Black hole distortion","Rose gold","Squinting suspicious eyes","Magnifying glass"
"Time paradox","Yakuza boss","Yakuza pompadour hair","Floating clock gears","Flannel shirt texture","Bushy eyebrows","Baseball bat with nails"
"Gravity magic","Cowboy","Stetson cowboy hat","Floating rocks (anti-gravity)","Checkered Vans pattern","Moustache and goatee","Lasso rope"
"Sound waves","Bard","Jester hat with bells","Musical staff with notes","Yellow sponge texture","Huge buck teeth","Lute instrument"
"Laser light","Necromancer","Skull crown","Ghostly apparitions","Green alien skin","Deep wrinkles","Glowing magic staff"
"Shadow realm","Bartender","Bowler hat","Creeping shadow tendrils","Matte black rubber","Sad drooping mouth","Cocktail shaker"
"Dreams","Surfer","Sunglasses on head","Floating soap bubbles","Rainbow tie-dye","Creepy robotic blinking eyes","Surfboard"
"Nightmares","Post-apocalyptic survivor","Goggles with mismatched lenses","Red warning sirens","Dirty bandages","Missing teeth","Can of baked beans"
"Chaos energy","Samurai","Straw conical hat","Glitching reality tears","Scaly reptilian texture","Reptilian slit pupils","Katana sword"
"Order & Logic","Chef","Sushi chef bandana","Floating geometric grids","Clean white ceramic","Calm, serene smile","Giant kitchen knife"
"Love & Charm","DJ","Giant DJ Marshmello head","Pink floating hearts","Fluffy fur texture","Heart-shaped eyes (馃槏)","Vinyl record"
"Monday hatred","Assassin","Assassin's hood","Floating Zzz (sleep marks)","Orange tabby stripes","Half-closed lazy eyes","Pan of lasagna"
"Pizza grease","Skater","Backwards snapback cap","Spray paint mist","Turtle shell texture","Ninja eye mask","Nunchucks"
"Energon","Mecha pilot","Gundam V-fin","Exhaust flames","Metallic car paint","Glowing visor","Arm cannon"
"Apathy","E-girl","Bunny ears","Floating black broken hearts","Fishnet texture","E-girl heavy eyeliner","Energy drink"
"Critical hit","Dungeon Master","Wizard hat with stars","Floating glowing D20 dice","Polyhedral plastic","Glowing numbers","DM screen"
"Dust & Dirt","Gladiator","Spartan helmet","Floating dust bunnies","Scratched plastic","Red LED line","Small taped-on knife"
"Slime","Game Show Contestant","Hotdog costume top","Confetti rain","Jellybean texture","Simple dot eyes","Golden crown"
"Gunpowder","Terrorist","TNT block on head","Hissing white smoke","Green pixelated camo","Sad pixel face","Fuse wire"
"Power Pellets","Glutton","Cherry","Ghost trails","Bright yellow","Simple pie-slice mouth","Power pill"
"Geometric order","Architect","Hard hat","Falling Tetris blocks","Bright cyan","Blank (no face)","Blueprint"
"Suspicion","Detective","Egg on head","Red ""!"" alert symbols","Bright red spacesuit","Visor reflecting a knife","Eject button"
"The Upside Down","Monster","Flower petals (fleshy)","Floating ash and spores","Slimy grey flesh","Flower-petal mouth with teeth","Waffle"
"Hell energy","Demon","Horns","Floating fireball","Red fleshy sphere","One big green eye","Cacodemon smile"
"Parasitism","Scientist","Glasses (askew)","Blood drops","Pale fleshy tone","Beak underneath","Crowbar"
"Photosynthesis","Botanist","Watering can","Falling autumn leaves","Terracotta pot","Happy drawn-on face","Trowel"
"Ranch dressing","Florida Man","Giant foam finger","Raining tacos","Pepto-Bismol pink","Buscemi eyes","Holding a ""Gamer Girl Bath Water"" jar"
"Spaghetti code","Used car salesman","Plunger","Floating dogecoin logos","Blueberry Pop-Tart frosted","Googly eyes","Wielding a Comically Large Spoon"
"Dial-up internet","Karen (wants manager)","Toaster with pop-tarts","Error 404 text","VHS plastic black","Gigachad chin and smolder","Carrying a body pillow (dakimakura)"
"Lofi hip-hop beats","Discord moderator","Gatsby flat cap","Swarming murder hornets","Bismuth crystal iridescent","Loading spinner for an eye","Holding a Nokia 3310 tied to a stick"
"Glitter","Bitcoin bro","Crown of Hot Wheels","Confetti and party poppers","Amazon Prime cardboard","Pac-Man eating dots mouth","Riding a tiny Roomba"
"Tears of gamers","Hipster barista","Facehugger","Floating Minecraft hearts","Tweed fabric","Vampire fangs with blood","Holding a golden frying pan"
"Pumpkin spice","E-sports champion","Bowl of ramen","Bubbling cheese strings","Bubblegum machine glass","Doge side-eye","Wearing a ""Kick Me"" sign"
"Expired milk","Mall cop","Pigeon sitting on head","Holographic pop-up ads","Disco ball mirror tiles","Crying Jordan meme face","Holding a baguette sword"
"Bubble wrap","Goth kid","Apple with an arrow","Glitching VHS tracking lines","Neon yellow highlighter","Pouty duck lips","Carrying a boombox playing Rickroll"
"Comic Sans MS","1920s mobster","Marge Simpson's hair","Raining pepperoni slices","Rust and peeling mint paint","Cybernetic eye patch","Holding an Uno Reverse card"
"Bitcoin mining heat","K-pop idol","Spinning disco ball","Floating question marks","Velvet crushed burgundy","Two mouths, no eyes","Wielding a Keyblade"
"5G microchips","MLM pyramid seller","Flaming skull","""WASTED"" text from GTA","Tie-dye psychedelic","Hypno-toad swirling eyes","Carrying a Minecraft diamond pickaxe"
"RGB gamer lighting","Conspiracy theorist","Biblically accurate wheels","Stardust and nebulas","Corrugated cardboard","Moustache made of wires","Holding a dying Tamagotchi"
"ASMR whispers","Renaissance LARPer","VR headset with googly eyes","Floating algebra symbols","Polished mahogany wood","Button eyes (Coraline)","Jetpack made of fire extinguishers"
"Existential dread","80s aerobics instructor","Pirate ship in a bottle","Swirling tarot cards","Whiteboard with doodles","Third eye on the forehead","Holding a rubber chicken with a pulley"
"Cotton candy","Traffic warden","Nest of angry hornets","Leaking engine oil","Missing texture (pink/black)","Zipped-up mouth","Carrying a giant D20 die"
"Red Bull energy","Door-to-door salesman","Retro TV antenna","Crackling Tesla coil arcs","Terrazzo floor pattern","Glowing barcode on forehead","Wielding a chainsaw with blood"
"Sriracha sauce","Cult leader","Nacho sombrero","Snowflakes and frostbite","Corkboard with thumbtacks","Groucho Marx glasses","Holding a sign ""The End is Nigh"""
"VHS tape static","D&D rule lawyer","Ushanka hat with red star","Floating piano keys","Duct tape silver","Jack-o'-lantern carved smile","Carrying a bouquet of dead roses"
"Nokia 3310 power","Sommelier","French beret & baguette","Bouncing DVD logo","Lava lamp fluid blobs","Censored pixel bar over eyes","Holding a Bop It! toy"
"Anti-matter","Crypto-zoologist","Turban with a giant ruby","Raining cats and dogs","Fuzzy tennis ball yellow","Anime ""Yandere"" empty eyes","Wearing a floatie around waist"
"Solar flares","ASMR Youtuber","Traffic light (stuck red)","Swirling coffee steam","Bubble wrap texture","Twirling villain mustache","Holding a Rubik's Cube"
"Swamp muck","Teppanyaki chef","Cuckoo clock","Pulsating sonar rings","Plaid flannel","Giant shojo anime sparkly eyes","Wielding a plunger"
"Poltergeist ectoplasm","Lumberjack","Giant key (Kingdom Hearts)","Sputtering fireworks","Holographic Pokémon card","Terminator endoskeleton half-face","Carrying a boom microphone"
"Fairy dust","Deep sea diver","5-gallon water jug","Floating jigsaw puzzle pieces","Stained glass window","Smooth, featureless face","Holding a vintage Polaroid camera"
"Molten cheese","Roller derby jammer","Cheese wheel (Skyrim)","Sizzling bacon grease","Ugly Christmas sweater","Grumpy old man scowl","Fanny pack full of spaghetti"
"Kinetic sand","Mime","Bear trap","Radiating WiFi waves","Burnt toast black","Clown nose that honks","Holding a sparking magic wand"
"Supernova explosion","Exorcist","Lampshade (party style)","Swirling autumn leaves","Raw meat texture (cursed)","Glowing red eyes with light trails","Skateboard with broken trucks"
"Deep sea pressure","Beekeeper","Potted cactus","Levitating sushi rolls","Glazed donut with sprinkles","Derpy cross-eyed stare","Holding a cup of instant ramen"
"Liquid nitrogen","Astronaut monkey","Stack of pancakes","Flashing police sirens","Watermelon rind green","Zombie rotting jaw","Wearing a single roller skate"
"Bioluminescence","Tarot card reader","Miner's helmet with candle","Dripping honey","Leopard print","Alien grey large black eyes","Crystal ball showing BSOD"
"Microwave radiation","Paparazzi","Brain in a glass jar","Shimmering aurora borealis","Dalmatian spots","Spider mandibles","Carrying a pitchfork and torch"
"Carbonated water","Bodega cat","Octopus wearing a monocle","Cascading poker chips","Chainmail armor","Fish lips","Holding a folded steel katana"
"Stale memes","Pro wrestler (Luchador)","Crystal unicorn horn","Fluttering bats","Brick wall texture","Cyborg HUD over eyes","Utility belt full of snacks"
"Nostalgia","Cyber-surgeon","Satellite dish","Sputtering exhaust smoke","Chalkboard black","Creepy Cheshire Cat grin","Glowing green uranium rod"
"Quantum entanglement","Wasteland scavenger","Boombox","Glowing runes and sigils","Nylon puffer jacket","Cute cat "":3"" mouth","Teddy bear missing an eye"
"Origami paper","Victorian chimney sweep","Floating question mark block","Floating gears and sprockets","Porcelain willow pattern","Monocle that keeps falling out","Holding a grappling hook"
"Bees (just bees)","Gondolier","Plumbob (The Sims)","Bubbling lava lamp blobs","Glowing tritium green","Aviator sunglasses (nuclear reflection)","Wielding a trident"
"Maple syrup","Mandalorian bounty hunter","Rubber duck","Radiating heart emojis","Brushed aluminum","Welding goggles","Boombox on the shoulder"
"Black hole disk","Disco dancer","Anvil (Looney Tunes)","Shattering glass shards","Cork","Band-aid on the nose","Large sack with a dollar sign"
"Tectonic friction","Bowling alley mechanic","Giant strawberry","Raining dollar bills","Spongebob sponge yellow","Big braces and headgear","Wearing boxing gloves"
"Magnetic fields","Ice cream truck driver","WiFi router","Floating vinyl records","Astroturf green","Snarling werewolf snout","Fishing rod with an old boot"
"Sonic booms","Men in Black agent","Chainsaw","Radioactive green glow","Translucent red gummy bear","Glowing neon face outline","Carrying a flamethrower"
"Static electricity","Mad Hatter","Origami crane","Swirling sandstorm","Tarnished brass","Steampunk brass goggles","Holding a VIP backstage pass"
"Rust and tetanus","Spartan hoplite","Tiki mask","Bouncing rubber balls","Camouflage (desert)","Sad clown painted tear","Magic staff made of twisted roots"
"Pheromones","Drill sergeant","Graduation cap","Leaking toxic sludge","Rainbow gradient","Bug-eyed mantis eyes","Clipboard with a checklist"
"WD-40","Royal executioner","Shower cap and curlers","Floating origami shapes","Static TV noise pattern","Skull missing the lower jaw","Holding a giant lollipop"
"Duct tape","Time traveler","Beanie with cat ears","Sprouting vines and flowers","Diamond ore block texture","Cute bunny teeth","Superhero cape blowing in the wind"
"Pure math","Synthwave DJ","Mariachi hat with silver","Flashing paparazzi flashes","Vending machine buttons","Exhausted bags under the eyes","Rotary telephone receiver"
"Chrono-tachyon","Intergalactic diplomat","Giant red mushroom","Raining Skittles","Origami folded paper","Third eye blinking vertically","Carrying a tiny bonsai tree"
